threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr
0.47,0.792364990689013,0.6635514018691588,0.2751937984496124,0.38904109589041097,0.6921187443000456,0.5087150075029894,0.04411764705882353,0.7248062015503876
0.48,0.7937616387337058,0.6798029556650246,0.26744186046511625,0.38386648122392214,0.6921187443000456,0.5087150075029894,0.03982843137254902,0.7325581395348837
0.49,0.7951582867783985,0.701058201058201,0.2567829457364341,0.375886524822695,0.6921187443000456,0.5087150075029894,0.03462009803921569,0.7432170542635659
0.5,0.7970204841713222,0.723463687150838,0.250968992248062,0.3726618705035971,0.6921187443000456,0.5087150075029894,0.030330882352941176,0.749031007751938
0.51,0.7965549348230913,0.7337278106508875,0.24031007751937986,0.362043795620438,0.6921187443000456,0.5087150075029894,0.027573529411764705,0.7596899224806202
0.52,0.7984171322160148,0.7577639751552795,0.2364341085271318,0.3604135893648449,0.6921187443000456,0.5087150075029894,0.02389705882352941,0.7635658914728682
0.53,0.797951582867784,0.7645161290322581,0.22965116279069767,0.353204172876304,0.6921187443000456,0.5087150075029894,0.022365196078431373,0.7703488372093024
0.54,0.7981843575418994,0.7777777777777778,0.2238372093023256,0.3476297968397291,0.6921187443000456,0.5087150075029894,0.02022058823529412,0.7761627906976745
0.55,0.7977188081936686,0.7900355871886121,0.21511627906976744,0.33815689261233817,0.6921187443000456,0.5087150075029894,0.018075980392156864,0.7848837209302325
0.56,0.7977188081936686,0.7985347985347986,0.21124031007751937,0.3340996168582375,0.6921187443000456,0.5087150075029894,0.01685049019607843,0.7887596899224806
0.57,0.797951582867784,0.8228346456692913,0.20251937984496124,0.3250388802488336,0.6921187443000456,0.5087150075029894,0.013786764705882353,0.7974806201550387
0.58,0.7986499068901304,0.8408163265306122,0.1996124031007752,0.3226311667971809,0.6921187443000456,0.5087150075029894,0.011948529411764705,0.8003875968992248
0.59,0.7972532588454376,0.8546255506607929,0.187984496124031,0.30818109610802225,0.6921187443000456,0.5087150075029894,0.01011029411764706,0.812015503875969
0.6,0.7953910614525139,0.8558139534883721,0.17829457364341086,0.2951082598235766,0.6921187443000456,0.5087150075029894,0.009497549019607842,0.8217054263565892
0.61,0.7937616387337058,0.8578431372549019,0.1695736434108527,0.28317152103559873,0.6921187443000456,0.5087150075029894,0.008884803921568627,0.8304263565891473
0.62,0.7930633147113594,0.8666666666666667,0.16375968992248063,0.2754686226568867,0.6921187443000456,0.5087150075029894,0.007965686274509803,0.8362403100775194
0.63,0.7921322160148976,0.8677248677248677,0.15891472868217055,0.26863226863226863,0.6921187443000456,0.5087150075029894,0.007659313725490196,0.8410852713178295
0.64,0.7921322160148976,0.8839779005524862,0.15503875968992248,0.26380873866446825,0.6921187443000456,0.5087150075029894,0.006433823529411764,0.8449612403100775
0.65,0.7914338919925512,0.8863636363636364,0.1511627906976744,0.2582781456953642,0.6921187443000456,0.5087150075029894,0.006127450980392157,0.8488372093023255
0.66,0.7907355679702048,0.893491124260355,0.14631782945736435,0.2514571190674438,0.6921187443000456,0.5087150075029894,0.0055147058823529415,0.8536821705426356
0.67,0.7905027932960894,0.9024390243902439,0.1434108527131783,0.24749163879598662,0.6921187443000456,0.5087150075029894,0.004901960784313725,0.8565891472868217
0.68,0.789804469273743,0.9056603773584906,0.13953488372093023,0.24181360201511334,0.6921187443000456,0.5087150075029894,0.004595588235294118,0.8604651162790697
0.69,0.789804469273743,0.9161290322580645,0.1375968992248062,0.2392586352148273,0.6921187443000456,0.5087150075029894,0.003982843137254902,0.8624031007751938
0.7,0.789804469273743,0.9215686274509803,0.13662790697674418,0.2379746835443038,0.6921187443000456,0.5087150075029894,0.003676470588235294,0.8633720930232558
0.71,0.7900372439478585,0.9333333333333333,0.13565891472868216,0.23688663282571912,0.6921187443000456,0.5087150075029894,0.0030637254901960784,0.8643410852713178
0.72,0.7893389199255121,0.9319727891156463,0.13275193798449614,0.23240033927056827,0.6921187443000456,0.5087150075029894,0.0030637254901960784,0.8672480620155039
0.73,0.7888733705772812,0.9310344827586207,0.1308139534883721,0.22939677145284623,0.6921187443000456,0.5087150075029894,0.0030637254901960784,0.8691860465116279
0.74,0.7888733705772812,0.9432624113475178,0.12887596899224807,0.226768968456948,0.6921187443000456,0.5087150075029894,0.0024509803921568627,0.8711240310077519
0.75,0.7891061452513967,0.9565217391304348,0.12790697674418605,0.22564102564102564,0.6921187443000456,0.5087150075029894,0.001838235294117647,0.872093023255814
0.76,0.7886405959031657,0.9558823529411765,0.12596899224806202,0.2226027397260274,0.6921187443000456,0.5087150075029894,0.001838235294117647,0.874031007751938
0.77,0.7877094972067039,0.9545454545454546,0.12209302325581395,0.21649484536082475,0.6921187443000456,0.5087150075029894,0.001838235294117647,0.877906976744186
0.78,0.7870111731843575,0.9606299212598425,0.1182170542635659,0.21052631578947367,0.6921187443000456,0.5087150075029894,0.0015318627450980392,0.8817829457364341
0.79,0.7860800744878957,0.959349593495935,0.11434108527131782,0.20432900432900433,0.6921187443000456,0.5087150075029894,0.0015318627450980392,0.8856589147286822
0.8,0.7858472998137802,0.9590163934426229,0.11337209302325581,0.2027729636048527,0.6921187443000456,0.5087150075029894,0.0015318627450980392,0.8866279069767442
0.81,0.784683426443203,0.9572649572649573,0.10852713178294573,0.19495213228894692,0.6921187443000456,0.5087150075029894,0.0015318627450980392,0.8914728682170543
0.82,0.784217877094972,0.9565217391304348,0.1065891472868217,0.1918047079337402,0.6921187443000456,0.5087150075029894,0.0015318627450980392,0.8934108527131783
0.83,0.7832867783985102,0.954954954954955,0.10271317829457365,0.18547681539807523,0.6921187443000456,0.5087150075029894,0.0015318627450980392,0.8972868217054264
0.84,0.7832867783985102,0.963302752293578,0.10174418604651163,0.18404907975460122,0.6921187443000456,0.5087150075029894,0.0012254901960784314,0.8982558139534884
0.85,0.7825884543761639,0.9622641509433962,0.09883720930232558,0.17926186291739896,0.6921187443000456,0.5087150075029894,0.0012254901960784314,0.9011627906976745
0.86,0.7818901303538175,0.9702970297029703,0.09496124031007752,0.17299205648720212,0.6921187443000456,0.5087150075029894,0.0009191176470588235,0.9050387596899225
0.87,0.7816573556797021,0.97,0.0939922480620155,0.17137809187279152,0.6921187443000456,0.5087150075029894,0.0009191176470588235,0.9060077519379846
0.88,0.7802607076350093,0.9782608695652174,0.0872093023255814,0.1601423487544484,0.6921187443000456,0.5087150075029894,0.0006127450980392157,0.9127906976744186
0.89,0.7793296089385475,0.9883720930232558,0.08236434108527131,0.1520572450805009,0.6921187443000456,0.5087150075029894,0.00030637254901960784,0.9176356589147286
0.9,0.7786312849162011,1.0,0.07848837209302326,0.14555256064690028,0.6921187443000456,0.5087150075029894,0.0,0.9215116279069767
0.91,0.7777001862197392,1.0,0.07461240310077519,0.1388638412984671,0.6921187443000456,0.5087150075029894,0.0,0.9253875968992248
0.92,0.7756052141527002,1.0,0.06589147286821706,0.12363636363636364,0.6921187443000456,0.5087150075029894,0.0,0.9341085271317829
0.93,0.7742085661080075,1.0,0.060077519379844964,0.113345521023766,0.6921187443000456,0.5087150075029894,0.0,0.939922480620155
0.94,0.7735102420856611,1.0,0.05717054263565891,0.10815765352887259,0.6921187443000456,0.5087150075029894,0.0,0.9428294573643411
0.95,0.7711824953445066,1.0,0.04748062015503876,0.09065679925994449,0.6921187443000456,0.5087150075029894,0.0,0.9525193798449613
